last_updated,location,experience_level,tech_abilities,tech_stack,full_link
2024-04-22,"Analytics Engineer, FinanceSan Francisco, CA — Finance",5 years,"Strong proficiency in SQL for data manipulation, comfortable in at least one functional/OOP language such as Python or R","S3, Trino, Hive, Spark, Airflow, Dagster, Tableau, Looker",https://openai.com/careers/analytics-engineer-finance
2024-04-22,"Backend Engineer, Evals & UnderstandingSan Francisco, CA — Human Data",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/backend-engineer-evals-understanding
2024-04-22,"Backend Engineer, Evals & Understanding (London)London, UK — Human Data",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/backend-engineer-evals-understanding-london
2024-04-22,"Backend Engineer, Review & Training PlatformSan Francisco, CA — Human Data",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/backend-engineer-review-training-platform
2024-04-22,"Backend Engineer, Review & Training PlatformLondon, UK — Human Data",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/backend-engineer-review-training-platform-2
2024-04-22,"Backend Engineer, SoraSan Francisco, CA — Sora",5 years,"Engineered large-scale systems that process and serve petabytes of video, Understand various video formats and codecs, Comfortable with ambiguity and rapidly changing conditions","Blob storage, CDNs, Distributed processing, Video transcoding",https://openai.com/careers/backend-engineer-sora
2024-04-22,"Billing Operations ManagerSan Francisco, CA — Finance",5+ years,"Order management, accounts receivable, billing operations","Stripe, Netsuite, Ironclad, Salesforce, Microsoft Excel, GSuite, Slack, Adobe Acrobat, SQL",https://openai.com/careers/billing-operations-manager
2024-04-22,"Champion Network ManagerSan Francisco, CA — Customer Success",8+ years,"Building and managing online and offline customer networks, engagement strategies, metrics analysis","Tools and platforms for communication, managing memberships, and tracking engagement",https://openai.com/careers/champion-network-manager
2024-04-22,"Compliance EngineerSan Francisco, CA — Security",5 years,"automating processes, security engineering, compliance audits","Python, SQL",https://openai.com/careers/compliance-engineer
2024-04-22,"Compliance Program ManagerSan Francisco, CA — Security",5 years,"GRC, security, compliance",N/A,https://openai.com/careers/compliance-program-manager
2024-04-22,"Corporate Accounting ManagerSan Francisco, CA — Finance",6-8+ years,"Process improvement, financial reporting, project management","NetSuite, Zip, Netgain, Vena",https://openai.com/careers/corporate-accounting-manager
2024-04-22,"Counsel, CorporateSan Francisco, CA — Legal",4+ years,"Corporate governance, strategic transactions, securities law compliance","Legal experience, technology law expertise, securities law expertise",https://openai.com/careers/counsel-corporate
2024-04-22,"Data Center EngineerSan Francisco, CA — Platform",10 years,"Data center design, workload modeling, hardware optimization","GPU servers, AI workloads, data center networks",https://openai.com/careers/data-center-engineer
2024-04-22,"Data Infrastructure EngineerSan Francisco, CA — Applied AI Engineering",4+ years,"scaling Kubernetes services, debugging Kafka consumer lag, diagnosing distributed kv store failures, designing systems with low latency","Apache Spark, Python, Terraform, Kafka, Azure EventHub, Vector DBs",https://openai.com/careers/data-infrastructure-engineer
2024-04-22,"Data Scientist, ProductSan Francisco, CA — Data Science",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/data-scientist-product
2024-04-22,"Digital Success ManagerSan Francisco, CA — Go To Market",7+ years,"Digital Success, customer engagement, problem-solving","SaaS, AI-driven products, digital channels",https://openai.com/careers/digital-success-manager
2024-04-22,"Distributed Systems/ML EngineerSan Francisco, CA — Platform",5 years,"optimizing performance, understanding distributed systems, bug-free machine learning code","Python, supercomputers, distributed systems",https://openai.com/careers/distributed-systemsml-engineer
2024-04-22,"Distributed Training Engineer, SoraSan Francisco, CA — Sora",5 years,"Large Language Models Training, optimizing training kernels, understanding distributed systems","Python, supercomputers, machine learning",https://openai.com/careers/distributed-training-engineer-sora
2024-04-22,"DL SW/HW Codesign EngineerSan Francisco, CA — Hardware Design",4 years,"hardware/software co-design, deep learning computing, chip microarchitecture",not specified,https://openai.com/careers/dl-swhw-codesign-engineer
2024-04-22,"Endpoint EngineerSan Francisco, CA — IT",5 years,"Deep technical mastery of MacOS and iOS environments, Advanced scripting skills in Python and Bash, Extensive experience with MDM solutions",NA,https://openai.com/careers/endpoint-engineer
2024-04-22,"Engineering Manager - Supercomputing  - Storage, Scalability, SchedulingSan Francisco, CA — Platform",5 years,"Large Language Models Training, infrastructure building, team leadership","Kubernetes, Azure, high-performance computing",https://openai.com/careers/engineering-manager-supercomputing-storage-scalability-scheduling
2024-04-22,"Engineering Manager, AI Inference SystemsSan Francisco, CA — Applied AI Engineering",7+ years,"ML systems, high scale distributed inference, production grade systems at scale","Python, PyTorch, CUDA, Triton, Redis, Infiniband, NCCL, NVLink",https://openai.com/careers/engineering-manager-ai-inference-systems
2024-04-22,"Engineering Manager, API CapabilitiesSan Francisco, CA — Applied AI Engineering",6+ years,"Deployment of large language models, managing software engineering teams, working with production software systems",NA,https://openai.com/careers/engineering-manager-api-capabilities
2024-04-22,"Engineering Manager, Assistants APISan Francisco, CA — Applied AI Engineering",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/engineering-manager-assistants-api
2024-04-22,"Engineering Manager, ChatGPT Core UX & Client FoundationsSan Francisco, CA — Applied AI Engineering",8+ years,"building mobile/web applications at scale, engineering management, coaching engineers","android/iOS/web, Python, Cuda, Skitlearn",https://openai.com/careers/engineering-manager-chatgpt-core-ux-client-foundations
2024-04-22,"Engineering Manager, Fine-Tuning APISan Francisco, CA — Applied AI Engineering",6+ years,"training and inference of large language models, latest AI research, efficient implementation of AI systems","Python, AI research tools, large language model frameworks",https://openai.com/careers/engineering-manager-fine-tuning-api
2024-04-22,"Engineering Manager, Research Platform, RuntimeSan Francisco, CA — Platform",5 years,"Large Language Models Training, Report creation, collaborating with cross-functional teams","Python, Rust, C++, Kubernetes",https://openai.com/careers/engineering-manager-research-platform-runtime
2024-04-22,"Engineering Manager, Review and Training Platform (London)London, UK — Platform",5 years,"Large Language Models Training, data labeling for deep learning systems, ML systems",NA,https://openai.com/careers/engineering-manager-review-and-training-platform-london
2024-04-22,"Enterprise Security EngineerSan Francisco, CA — IT",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/enterprise-security-engineer
2024-04-22,"EU Privacy CounselDublin, Ireland — Legal",6-8 years PQE,"Expertise in data protection and privacy law, strong analytical skills, exceptional communication abilities, leadership and collaboration in a cross-functional environment",N/A,https://openai.com/careers/eu-privacy-counsel
2024-04-22,European AI Policy Lead & Program ManagerRemote - Brussels — Global Affairs,10+ years,"Managing relationships with policymakers, academics, and civil society groups","EU legislative and regulatory issues, AI policy, public policy experience",https://openai.com/careers/european-ai-policy-lead-program-manager
2024-04-22,"European AI Safety Policy Lead - TechnicalLondon, UK — Global Affairs",3-5 years,"AI Safety policy work, engaging with policy-makers, technical background in LLMs/AI technologies","ML/AI, LLMs, AI risk assessment, model safety, Python",https://openai.com/careers/european-ai-safety-policy-lead-technical
2024-04-22,"Fraud Technical Investigator, Platform AbuseSan Francisco, CA — Applied AI Engineering",5 years,"Discovering and mitigating misuse, automating detection coverage, collaborating with engineering teams","Python, Splunk, Humio",https://openai.com/careers/fraud-technical-investigator-platform-abuse
2024-04-22,"Frontend Engineer, Evals & UnderstandingSan Francisco, CA — Human Data",5 years,"Architect, build, and design tooling and products","Python, scalability, performance, observability, security",https://openai.com/careers/frontend-engineer-evals-understanding
2024-04-22,"Frontend Engineer, Evals & UnderstandingLondon, UK — Human Data",5 years,"Architecting, building, and designing tooling and products for data generation and management platform",NA,https://openai.com/careers/frontend-engineer-evals-understanding-2
2024-04-22,"Frontend Engineer, Review & Training PlatformSan Francisco, CA — Human Data",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/frontend-engineer-review-training-platform-3
2024-04-22,"Frontend Engineer, Review & Training Platform (London)London, UK — Human Data",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/frontend-engineer-review-training-platform-london
2024-04-22,"Full Stack Engineer, Communications & DesignSan Francisco, CA — Communications Design",6 years,"API design, backend development, full stack development","Nuxt 3, Laravel, PostgreSQL",https://openai.com/careers/full-stack-engineer-communications-design
2024-04-22,"Full Stack Engineer, Leverage EngineeringSan Francisco, CA — Business Operations",5 years,"Large Language Models Training, Report creation, etc.","JavaScript, React, Python",https://openai.com/careers/full-stack-engineer-leverage-engineering
2024-04-22,"Full Stack Software Engineer, Applied ResearchSan Francisco, CA — Applied AI Partnership Research",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/full-stack-software-engineer-applied-research
2024-04-22,"Global Investigations ManagerSan Francisco, CA — Intelligence & Investigations",5 years,"Strong technical competence in related areas (e.g. security engineering, data science), Experience with generative AI abuse and applying LLMs to investigatory workflows","Python, security engineering, data science",https://openai.com/careers/global-investigations-manager
2024-04-22,"GPU Kernels EngineerSan Francisco, CA — Research",3+ years,"Developing high performance GPU kernels, optimizing for instruction issue rate, managing register space","C/C++, Python, CUDA",https://openai.com/careers/gpu-kernels-engineer
2024-04-22,"Graph Compiler EngineerSan Francisco, CA — Platform",3 years,"Graph optimization, machine learning experiments, machine learning compiler","Python, GPU performance, systems-level optimization",https://openai.com/careers/graph-compiler-engineer
2024-04-22,"Growth, APISan Francisco, CA — Growth",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/growth-api
2024-04-22,"GTM Onboarding ManagerSan Francisco, CA — Go To Market",5 years,"Large Language Models Training, Report creation, Strategic Planning, Content Development, Cross-Functional Collaboration, Data-Driven Approach, Communication Skills, Adaptability, Project Management","Python, Cuda, Skitlearn",https://openai.com/careers/gtm-onboarding-manager
2024-04-22,"Head of Global PayrollSan Francisco, CA — Finance",15+ years,"Global payroll management, international payroll laws, vendor management","Workday, ADP",https://openai.com/careers/head-of-global-payroll
2024-04-22,"Head of Partner Enablement, Revenue PartnershipsSan Francisco, CA — Go To Market",10+ years,"building enablement programs, leading teams, executing successful programs","Enterprise SaaS, partner enablement tools, data analytics",https://openai.com/careers/head-of-partner-enablement-revenue-partnerships
2024-04-22,"HW/SW Co-design EngineerSan Francisco, CA — Research",3+ years,"GPU and/or other AI accelerators, CUDA or related accelerator programming language, driving ML accuracy with low precision formats",NA,https://openai.com/careers/hwsw-co-design-engineer
2024-04-22,"Indirect Tax ManagerSan Francisco, CA — Finance",7+ years,"Manage complex tax issues, provide effective tax solutions, communication skills","NetSuite, tax software, systems",https://openai.com/careers/indirect-tax-manager
2024-04-22,"Ireland, Privacy & Consumer Protections LeadDublin, Ireland — Global Affairs",10+ years,Data Privacy and Consumer Protection policy work on AI across EU Member States and with international policy-makers,"European Union policy-making system, institutions, and processes",https://openai.com/careers/ireland-privacy-consumer-protections-lead
2024-04-22,"IT SupportSan Francisco, CA — IT",5 years,"Intermediate-to-expert understanding of IDP and MDM solutions like AzureAD, Jamf, and Intune, Familiarity with Windows or Linux, understanding of Python, Bash, or Apple Script, Experience with collaboration software like Google Workspace, Office 365, Slack, and the Atlassian suite, Hands-on expertise implementing and managing AV and telecom systems such as Google Meet, Microsoft Teams, Crestron, and related technologies, Complete Mac and macOS troubleshooting and problem-solving skills, Adept in orchestrating a high-production all hands event","AzureAD, Jamf, Intune, Python, Bash, Apple Script, Google Workspace, Office 365, Slack, Atlassian suite, Google Meet, Microsoft Teams, Crestron, Mac troubleshooting, macOS troubleshooting",https://openai.com/careers/it-support
2024-04-22,"ITIL AdminSan Francisco, CA — Security",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/itil-admin
2024-04-22,"Machine Learning Engineer, Applied AISan Francisco, CA — Applied AI Engineering",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/machine-learning-engineer-applied-ai
2024-04-22,"Machine Learning Engineer, Retrieval & SearchSan Francisco, CA — Applied AI Engineering",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/machine-learning-engineer-retrieval-search
2024-04-22,"Media Relations, Europe LeadLondon, UK — Communications",15+ years,"PR and media relations experience, technology communications, knowledge of AI, political and regulatory dynamics in Europe, building relationships with press, executives, partners, and stakeholders",N/A,https://openai.com/careers/media-relations-europe-lead-2
2024-04-22,"Model Policy ManagerSan Francisco, CA — Safety Systems",5 years,"Designing model policies, Developing taxonomies, Leading safety efforts","Python, AI research, ML model training",https://openai.com/careers/model-policy-manager
2024-04-22,"Model Teacher, Technical (Contract)San Francisco, CA — Research",0,"Proficient in Python, comfortable with basics of other programming languages",Python,https://openai.com/careers/model-teacher-technical-contract
2024-04-22,"National Security Threat ResearcherSan Francisco, CA — Preparedness",5 years,"Preventing national security threats, AI safety evaluations, Risk management","Cybersecurity, Software engineering, ML research engineering",https://openai.com/careers/national-security-threat-researcher
2024-04-22,"Observability EngineerSan Francisco, CA — Applied AI Engineering",5 years,"Observability systems, Infrastructure as Code, microservices architecture","Python, Java, Go, AWS, GCP, Docker, Kubernetes",https://openai.com/careers/observability-engineer
2024-04-22,"Office ManagerDublin, Ireland — Workplace",5 years,"Office Management, Health & Safety, Budget Management","Microsoft Office, Google Workspace, Ticketing Systems",https://openai.com/careers/office-manager
2024-04-22,"Online Storage Infrastructure Engineer, Applied EngineeringSan Francisco, CA — Applied AI Engineering",8+ years,"Database infrastructure and storage interface design, scalability, reliability, security","CosmosDB, Postgres, Terraform, Kubernetes",https://openai.com/careers/online-storage-infrastructure-engineer-applied-engineering
2024-04-22,"Platform ML Engineering Manager, InferenceSan Francisco, CA — Platform",7+ years,"high scale distributed training or inference for modern LLMs, ML systems, AI research","Python, ML systems, distributed systems",https://openai.com/careers/platform-ml-engineering-manager-inference
2024-04-22,"Quantitative UX ResearcherSan Francisco, CA — Applied AI Engineering",10+ years,"Survey methodology, statistical analysis, programming (Python, R, SQL)","Python, R, SQL",https://openai.com/careers/quantitative-ux-researcher
2024-04-22,Quote to Cash Product ManagerRemote - New York City — Revenue Operations,5 years,"Experience with CPQ applications, managing roadmaps, Salesforce Administration","Enterprise SaaS, Salesforce, CPQ applications",https://openai.com/careers/quote-to-cash-product-manager
2024-04-22,"Regional Marketing, JapanTokyo, Japan — Marketing",7+ years,"Marketing strategy development, multi-channel campaigns, communication",N/A,https://openai.com/careers/regional-marketing-japan
2024-04-22,"Reliability EngineerSan Francisco, CA — Applied AI Engineering",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/reliability-engineer
2024-04-22,"Research EngineerSan Francisco, CA — Research",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/research-engineer
2024-04-22,"Research Engineer, AI Security & PrivacySan Francisco, CA — Safety Systems",3+ years,"AI security and privacy research for deep learning models, membership inference, privacy-preserving ML, adversarial attacks","Python, PyTorch (preferred) or TensorFlow",https://openai.com/careers/research-engineer-ai-security-privacy
2024-04-22,"Research Engineer, Collective AlignmentSan Francisco, CA — Policy Research",5 years,"ML training, ML experiments analysis, clean code writing",NA,https://openai.com/careers/research-engineer-collective-alignment
2024-04-22,"Research Engineer, Human-AI InteractionSan Francisco, CA — Safety Systems",3+ years,"Experimentation with model-assisted instruction, human feedback integration, model safety behavior evaluation","Deep learning, RLHF, human-AI collaboration",https://openai.com/careers/research-engineer-human-ai-interaction
2024-04-22,"Research Engineer, Multimodal (Post-training)San Francisco, CA — Post-training",5 years,"Building evals for new capabilities, analyzing model behavior, debugging ML systems","Python, transformers, large multimodal systems",https://openai.com/careers/research-engineer-multimodal-post-training
2024-04-22,"Research Engineer, PreparednessSan Francisco, CA — Preparedness",3 years,"ML research engineering, ML observability and monitoring, creating large language model-enabled applications","Python, large language models, observability tools",https://openai.com/careers/research-engineer-preparedness
2024-04-22,"Research Engineer, PrivacySan Francisco, CA — Security",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/research-engineer-privacy
2024-04-22,"Research Engineer, Safety ReasoningSan Francisco, CA — Safety Systems",5 years,"Improving foundational models, AI moderation models, automated data labeling","Python, AI safety, multimodal datasets",https://openai.com/careers/research-engineer-safety-reasoning
2024-04-22,"Research Engineer, SuperalignmentSan Francisco, CA — Alignment",3 years,"ML training, ML experiment analysis, data visualization",NA,https://openai.com/careers/research-engineer-superalignment
2024-04-22,"Research Manager, Model Deployment (Post-training)San Francisco, CA — Post-training",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/research-manager-model-deployment-post-training
2024-04-22,"Research Program Manager, Safety SystemsSan Francisco, CA — Safety Systems",5 years,"Managing key risk areas, overseeing quality of human data campaigns, standardizing risk assessment lifecycle","Python, Machine Learning, Risk Management Software",https://openai.com/careers/research-program-manager-safety-systems
2024-04-22,"Research Program Manager, SecuritySan Francisco, CA — Security",5 years,"Program management, security principles, security research community engagement, event planning, communication skills, cross-functional collaboration",N/A,https://openai.com/careers/research-program-manager-security
2024-04-22,"Research Scientist, Core Model (Post-training)San Francisco, CA — Post-training",5 years,"Design, validate, and improve evaluations, Conduct human data campaigns, Prototype new ideas and algorithms","Python, reinforcement learning, machine learning",https://openai.com/careers/research-scientist-core-model-post-training
2024-04-22,"Research Scientist, Model SafetySan Francisco, CA — Safety Systems",4+ years,"AI safety, RLHF, adversarial training, robustness, fairness & biases","Python, machine learning, deep learning",https://openai.com/careers/research-scientist-model-safety
2024-04-22,"Research Scientist, SuperalignmentSan Francisco, CA — Alignment",3 years,"Experiment design, data visualization, ML algorithms implementation","PyTorch, JavaScript, Python",https://openai.com/careers/research-scientist-superalignment
2024-04-22,"Research Software Engineer, Data Quality (Post-training)San Francisco, CA — Post-training",6+ years,"Highly skilled with Python, Ability to write, debug and optimize Spark code, Familiarity with Machine Learning, Deep Learning, and Large Language Models (e.g. PyTorch)","Python, Spark, PyTorch",https://openai.com/careers/research-software-engineer-data-quality-post-training
2024-04-22,"Researcher in SystemsSan Francisco, CA — Platform",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/researcher-in-systems
2024-04-22,"Revenue Accounting ManagerSan Francisco, CA — Finance",5+ years,"Advanced analytical and SQL skills, investigating revenue discrepancies, managing accounting close processes","Oracle NSAW, Tableau, Databricks, ERP systems",https://openai.com/careers/revenue-accounting-manager
2024-04-22,"Sales EngineerSan Francisco, CA — Technical Success",7+ years,"Pre-sales customer experience, security and compliance support, customer relationship management","IT security principles, B2B SaaS products, communication skills",https://openai.com/careers/sales-engineer
2024-04-22,"Sales Engineer, LondonLondon, UK — Technical Success",7+ years,"Delivering exceptional pre-sales customer experience, providing security and compliance support, fostering customer relationships","IT security principles, B2B SaaS products, presentation and communication skills",https://openai.com/careers/sales-engineer-london
2024-04-22,"Security Engineer, Detection & ResponseLondon, UK — Security","junior, mid-level and senior candidates","Detection & Response, AppSec, InfraSec, OffSec, knowledge of modern adversary tactics, techniques, and procedures, scripting language proficiency","Microsoft Azure, cloud infrastructure platforms, Python, Bash, PowerShell",https://openai.com/careers/security-engineer-detection-response
2024-04-22,"Security Engineer, Detection & ResponseSan Francisco, CA — Security",1-3 years,"Detection and response operations, Microsoft Azure and/or cloud infrastructure platforms, modern adversary tactics",NA,https://openai.com/careers/security-engineer-detection-response-2
2024-04-22,"Security Engineer, Review & Training PlatformSan Francisco, CA — Human Data",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/security-engineer-review-training-platform
2024-04-22,"Senior AI Product CounselSan Francisco, CA — Legal",10+ years,"AI legal matters, risk mitigation, legal policy positions","Legal expertise, AI regulations, privacy laws",https://openai.com/careers/senior-ai-product-counsel
2024-04-22,"Senior Intelligence Collections EngineerSan Francisco, CA — Intelligence & Investigations",5 years,"Data analysis, SQL / Python, application of novel AI techniques for problem-solving","Python, SQL",https://openai.com/careers/senior-intelligence-collections-engineer
2024-04-22,"Senior Manager, Revenue SystemsSan Francisco, CA — Finance",10+ years,"OTC/CPQ applications management and administration, Salesforce, Stripe, billing system APIs, project management, SQL, data analysis tools","Salesforce, Stripe, SQL, Python",https://openai.com/careers/senior-manager-revenue-systems
2024-04-22,"Senior Manager, Strategic Sourcing (CoE & Special Projects)San Francisco, CA — Finance",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/senior-manager-strategic-sourcing-coe-special-projects
2024-04-22,"Senior Manager, Strategic Sourcing (Software)San Francisco, CA — Finance",10+ years,"Strong Category Experience, Technical Credibility, People Management, Relationship Management, Negotiation Mastery, Strategic Insight, Analytical Capability, Collaborative Engagement, Proactive Leadership, Mission-Driven Focus","Technology procurement, cloud services, engineering principles, reporting and analytics, negotiation, vendor management, supplier performance metrics, procurement strategies",https://openai.com/careers/senior-manager-strategic-sourcing-software
2024-04-22,"Senior Manager, Workplace & Real Estate Analytics and TechnologySan Francisco, CA — Workplace",7+ years,"Data analysis and visualization, technology management, project management","SQL, Hive, Mode, Tableau",https://openai.com/careers/senior-manager-workplace-real-estate-analytics-and-technology
2024-04-22,"Senior Software Engineer, Android GrowthSan Francisco, CA — Applied AI Engineering",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/senior-software-engineer-android-growth
2024-04-22,"Senior Software Engineer, ChatGPT Model OptimizationSan Francisco, CA — Applied AI Engineering",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/senior-software-engineer-chatgpt-model-optimization
2024-04-22,"Senior Software Engineer, Identity PlatformSan Francisco, CA — Applied AI Engineering",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/senior-software-engineer-identity-platform
2024-04-22,"Senior Software Engineer, iOS GrowthSan Francisco, CA — Applied AI Engineering",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/senior-software-engineer-ios-growth
2024-04-22,"Senior Tax ManagerSan Francisco, CA — Finance",10+ years,"Manage and oversee tax function, provide tax guidance, lead tax audits","US tax laws and regulations, NetSuite, tax software",https://openai.com/careers/senior-tax-manager
2024-04-22,"Site Reliability Engineer, Research Platform - LondonLondon, UK — Platform",5 years,"Large Language Models Training, Report creation, Infrastructure as Code (IaC) principles, fault-tolerant and resilient design patterns, automation tools, observability tools","cloud infrastructure, programming/scripting languages, containerization technologies, container orchestration platforms like Kubernetes, IaC tools such as Terraform or CloudFormation, observability tools like DataDog, Prometheus, Grafana, Splunk, ELK stack, bare metal performance maximization in a Linux environment, hardware (especially GPU) device performance and troubleshooting, security best practices in cloud environments",https://openai.com/careers/site-reliability-engineer-research-platform-london
2024-04-22,"Site Reliability Engineer, Research Platform, SRESan Francisco, CA — Platform",5 years,"Large Language Models Training, Report creation, Infrastructure as Code (IaC) principles","Cloud infrastructure, Programming/scripting languages, Kubernetes, Terraform, DataDog, Prometheus, Grafana, Splunk, ELK stack, Linux environment, GPU performance, Security best practices in cloud environments",https://openai.com/careers/site-reliability-engineer-research-platform-sre
2024-04-22,"Software Engineer (Full Stack) – SafetySan Francisco, CA — Safety Systems",5 years,"Large Language Models Training, Report creation, AI/ML interest","JavaScript, React, Python, Postgres/MySQL",https://openai.com/careers/software-engineer-full-stack-safety
2024-04-22,"Software Engineer in SystemsSan Francisco, CA — Platform",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/software-engineer-in-systems
2024-04-22,"Software Engineer, Analytics PlatformSan Francisco, CA — Research",5 years,"Large Language Models Training, Report creation, data processing pipelines, data transformation","Kafka, Spark, Flink, Kubernetes, Terraform, Python",https://openai.com/careers/software-engineer-analytics-platform
2024-04-22,"Software Engineer, Anti Fraud & AbuseSan Francisco, CA — Applied AI Engineering",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/software-engineer-anti-fraud-abuse
2024-04-22,"Software Engineer, BackendSan Francisco, CA — Applied AI Engineering",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/software-engineer-backend
2024-04-22,"Software Engineer, Data AcquisitionSan Francisco, CA — Pre-training",5 years,"Model Valuation, model design, oop programming","R, Python, Cuda, statistical software",https://openai.com/careers/software-engineer-data-acquisition
2024-04-22,"Software Engineer, Distributed SystemsSan Francisco, CA — Platform",5 years,"Large distributed systems, system optimization, software engineering","Python, Rust",https://openai.com/careers/software-engineer-distributed-systems
